session,lat,lon,data,time
runner,43.3573277,-1.8642984,OSM,2022-04-15T08:12:01.000Z
runner,43.3573619,-1.8643484,OSM,2022-04-15T08:12:05.000Z
runner,43.3573865,-1.8644119,OSM,2022-04-15T08:12:09.000Z
runner,43.3574195,-1.8644667,OSM,2022-04-15T08:12:12.000Z
runner,43.3574542,-1.8645074,OSM,2022-04-15T08:12:14.000Z
runner,43.3574979,-1.8645471,OSM,2022-04-15T08:12:17.000Z
runner,43.3575357,-1.8645872,OSM,2022-04-15T08:12:22.000Z
runner,43.3575473,-1.8646564,OSM,2022-04-15T08:12:28.000Z
runner,43.3575662,-1.8647276,OSM,2022-04-15T08:12:34.000Z
runner,43.3575457,-1.8647900,OSM,2022-04-15T08:12:39.000Z
runner,43.3575345,-1.8648500,OSM,2022-04-15T08:12:49.000Z
runner,43.3574867,-1.8648904,OSM,2022-04-15T08:12:54.000Z
runner,43.3574593,-1.8649607,OSM,2022-04-15T08:12:58.000Z
runner,43.3574374,-1.8650346,OSM,2022-04-15T08:13:02.000Z
runner,43.3574281,-1.8651069,OSM,2022-04-15T08:13:06.000Z
runner,43.3574165,-1.8651687,OSM,2022-04-15T08:13:10.000Z
runner,43.3573930,-1.8652316,OSM,2022-04-15T08:13:17.000Z
runner,43.3573676,-1.8652999,OSM,2022-04-15T08:13:22.000Z
runner,43.3573511,-1.8653614,OSM,2022-04-15T08:13:26.000Z
runner,43.3573220,-1.8654215,OSM,2022-04-15T08:13:30.000Z
runner,43.3572964,-1.8654879,OSM,2022-04-15T08:13:35.000Z
runner,43.3572780,-1.8655583,OSM,2022-04-15T08:13:40.000Z
runner,43.3572531,-1.8656261,OSM,2022-04-15T08:13:45.000Z
runner,43.3572317,-1.8656970,OSM,2022-04-15T08:13:50.000Z
runner,43.3572304,-1.8657649,OSM,2022-04-15T08:13:54.000Z
runner,43.3572233,-1.8658372,OSM,2022-04-15T08:13:57.000Z
runner,43.3572104,-1.8659089,OSM,2022-04-15T08:14:00.000Z
runner,43.3571905,-1.8659821,OSM,2022-04-15T08:14:04.000Z
runner,43.3571793,-1.8660577,OSM,2022-04-15T08:14:08.000Z
